ServerId,ApplicationName,DependsOn,ConnectedTo,CPUUtilization,MemoryUtilization,DataSizeMB,Criticality,BusinessPriority,Complexity,Environment
srv-001,UserDB,,AuthService;PaymentService,65,70,800000,Yes,High,High,Production
srv-002,AuthService,UserDB,PaymentService;OrderService;FrontendWeb;AdminPortal;NotificationService,55,60,400000,Yes,High,Medium,Production
srv-003,PaymentDB,,PaymentService,60,75,700000,Yes,High,High,Production
srv-004,PaymentService,AuthService;PaymentDB,BillingService;FraudDetection,70,80,500000,Yes,High,High,Production
srv-005,OrderService,AuthService,InventoryService,50,55,300000,No,Medium,Medium,Production
srv-006,InventoryService,OrderService,SearchService,45,50,250000,No,Medium,Medium,Production
srv-007,NotificationService,AuthService,EmailService,30,40,150000,No,Low,Low,Production
srv-008,FrontendWeb,AuthService,,35,45,200000,No,High,Low,Production
srv-009,AdminPortal,AuthService,,40,50,220000,Yes,Medium,Medium,Production
srv-010,AnalyticsDB,,AnalyticsService,55,65,600000,No,Medium,High,Production
srv-011,AnalyticsService,AnalyticsDB,ReportingService;RecommendationEngine,50,60,350000,No,Medium,Medium,Production
srv-012,RecommendationEngine,AnalyticsService,,45,55,300000,No,Low,High,Production
srv-013,SearchService,InventoryService,,35,45,180000,No,Medium,Low,Production
srv-014,LoggingService,,MonitoringService,20,30,100000,No,Low,Low,Production
srv-015,MonitoringService,LoggingService,,25,35,120000,No,Low,Low,Production
srv-016,ReportingService,AnalyticsService,,50,60,280000,No,Medium,Medium,Production
srv-017,BillingService,PaymentService,,60,70,450000,Yes,High,High,Production
srv-018,EmailService,NotificationService,,25,35,130000,No,Low,Low,Production
srv-019,FraudDetection,PaymentService,,65,75,550000,Yes,High,High,Production
srv-020,CacheLayer,,FrontendWeb;AuthService,15,25,90000,No,Low,Low,Production